alert_id,timestamp,agent_id,agent_name,rule_id,rule_description,severity,event_data
100001,2025-08-01T00:01:26Z,003,ENDPOINT-LAPTOP-05,100001,Multiple failed SSH login attempts,7,"src_ip=8.146.244.228,username=devadmin"
100002,2025-08-01T00:07:50Z,005,WIN-WORKSTATION-03,900001,High CPU usage detected,4,"cpu_usage=70%,process=chrome.exe"
100003,2025-08-01T00:10:45Z,004,LINUX-SERVER-DB,300004,Suspicious outbound network traffic,6,"dest_ip=199.143.221.35,port=4444"
100004,2025-08-01T00:06:48Z,003,ENDPOINT-LAPTOP-05,540,User privilege escalation detected,8,"username=guest,src_ip=134.69.21.253"
100005,2025-08-01T00:13:10Z,002,LINUX-SERVER-02,5501,File integrity checksum changed,5,"file=/etc/passwd,hash_diff=true"
100006,2025-08-01T00:16:18Z,003,ENDPOINT-LAPTOP-05,540,User privilege escalation detected,8,"username=service,src_ip=111.34.148.155"
100007,2025-08-01T00:11:33Z,005,WIN-WORKSTATION-03,300004,Suspicious outbound network traffic,6,"dest_ip=88.156.148.196,port=8080"
100008,2025-08-01T00:00:40Z,003,ENDPOINT-LAPTOP-05,200002,Malware detected,9,file=C:\Users\Public\trojan.dll
100009,2025-08-01T00:21:36Z,002,LINUX-SERVER-02,200002,Malware detected,9,file=C:\Users\Public\ransomware.bat
100010,2025-08-01T00:26:40Z,005,WIN-WORKSTATION-03,300004,Suspicious outbound network traffic,6,"dest_ip=91.107.39.217,port=4444"
100011,2025-08-01T00:22:11Z,002,LINUX-SERVER-02,600003,USB storage device inserted,2,device_id=USB\\VID_0781&PID_5567
100012,2025-08-01T00:45:36Z,001,WIN-SERVER-01,4624,Successful user logon,3,"username=john.doe,src_ip=228.245.80.232"
100013,2025-08-01T01:00:14Z,002,LINUX-SERVER-02,18107,MySQL unauthorized query attempt,6,"username=admin,src_ip=112.232.135.201"
100014,2025-08-01T01:06:44Z,002,LINUX-SERVER-02,600003,USB storage device inserted,2,device_id=USB\\VID_0781&PID_5567
100015,2025-08-01T00:04:45Z,005,WIN-WORKSTATION-03,4624,Successful user logon,3,"username=service,src_ip=2.56.43.125"
100016,2025-08-01T00:51:12Z,005,WIN-WORKSTATION-03,18107,Multiple failed RDP login attempts,7,"src_ip=198.37.101.189,username=admin"
100017,2025-08-01T01:08:17Z,003,ENDPOINT-LAPTOP-05,100001,Multiple failed SSH login attempts,7,"src_ip=199.23.16.100,username=guest"
100018,2025-08-01T00:33:54Z,003,ENDPOINT-LAPTOP-05,600003,USB storage device inserted,2,device_id=USB\\VID_0781&PID_5567
100019,2025-08-01T00:12:21Z,004,LINUX-SERVER-DB,900001,High CPU usage detected,4,"cpu_usage=94%,process=chrome.exe"
100020,2025-08-01T00:54:00Z,004,LINUX-SERVER-DB,300004,Suspicious outbound network traffic,6,"dest_ip=52.241.151.232,port=4444"
100021,2025-08-01T01:25:45Z,001,WIN-SERVER-01,4624,Successful user logon,3,"username=devadmin,src_ip=89.203.155.76"
100022,2025-08-01T00:22:22Z,001,WIN-SERVER-01,5501,File integrity checksum changed,5,"file=/etc/passwd,hash_diff=true"
100023,2025-08-01T00:49:27Z,005,WIN-WORKSTATION-03,540,User privilege escalation detected,8,"username=guest,src_ip=220.130.191.187"
100024,2025-08-01T01:22:00Z,002,LINUX-SERVER-02,18107,Multiple failed RDP login attempts,7,"src_ip=188.103.144.44,username=service"
100025,2025-08-01T01:15:00Z,001,WIN-SERVER-01,18107,Multiple failed RDP login attempts,7,"src_ip=223.204.160.244,username=devadmin"
100026,2025-08-01T00:15:10Z,005,WIN-WORKSTATION-03,4624,Successful user logon,3,"username=guest,src_ip=65.112.156.118"
100027,2025-08-01T01:45:18Z,004,LINUX-SERVER-DB,300004,Suspicious outbound network traffic,6,"dest_ip=136.84.204.61,port=22"
100028,2025-08-01T00:58:48Z,005,WIN-WORKSTATION-03,4624,Successful user logon,3,"username=john.doe,src_ip=29.85.220.214"
100029,2025-08-01T02:08:05Z,003,ENDPOINT-LAPTOP-05,200002,Malware detected,9,file=C:\Users\Public\malicious.exe
100030,2025-08-01T01:07:30Z,004,LINUX-SERVER-DB,4624,Successful user logon,3,"username=admin,src_ip=38.194.184.62"
100031,2025-08-01T01:19:03Z,005,WIN-WORKSTATION-03,900001,High CPU usage detected,4,"cpu_usage=92%,process=chrome.exe"
100032,2025-08-01T01:05:36Z,002,LINUX-SERVER-02,900001,High CPU usage detected,4,"cpu_usage=84%,process=mysqld"
100033,2025-08-01T02:38:24Z,005,WIN-WORKSTATION-03,540,User privilege escalation detected,8,"username=admin,src_ip=132.14.76.180"
100034,2025-08-01T00:35:08Z,005,WIN-WORKSTATION-03,18107,Multiple failed RDP login attempts,7,"src_ip=223.26.221.55,username=devadmin"
100035,2025-08-01T01:03:35Z,004,LINUX-SERVER-DB,4624,Successful user logon,3,"username=root,src_ip=159.230.126.97"
100036,2025-08-01T01:29:24Z,001,WIN-SERVER-01,600003,USB storage device inserted,2,device_id=USB\\VID_0781&PID_5567
100037,2025-08-01T02:59:27Z,003,ENDPOINT-LAPTOP-05,540,User privilege escalation detected,8,"username=service,src_ip=51.247.95.251"
100038,2025-08-01T01:07:08Z,001,WIN-SERVER-01,300004,Suspicious outbound network traffic,6,"dest_ip=216.168.142.78,port=8080"
100039,2025-08-01T01:32:57Z,004,LINUX-SERVER-DB,900001,High CPU usage detected,4,"cpu_usage=78%,process=python.exe"
100040,2025-08-01T02:44:40Z,003,ENDPOINT-LAPTOP-05,18107,Multiple failed RDP login attempts,7,"src_ip=124.99.86.52,username=devadmin"
100041,2025-08-01T01:19:16Z,004,LINUX-SERVER-DB,100001,Multiple failed SSH login attempts,7,"src_ip=96.86.184.112,username=service"
100042,2025-08-01T02:43:48Z,004,LINUX-SERVER-DB,200002,Malware detected,9,file=C:\Users\Public\trojan.dll
100043,2025-08-01T01:07:22Z,002,LINUX-SERVER-02,600003,USB storage device inserted,2,device_id=USB\\VID_0781&PID_5567
100044,2025-08-01T00:23:28Z,003,ENDPOINT-LAPTOP-05,900001,High CPU usage detected,4,"cpu_usage=84%,process=nginx"
100045,2025-08-01T01:50:15Z,004,LINUX-SERVER-DB,100001,Multiple failed SSH login attempts,7,"src_ip=147.67.105.7,username=john.doe"
100046,2025-08-01T00:59:02Z,004,LINUX-SERVER-DB,18107,Multiple failed RDP login attempts,7,"src_ip=146.148.52.185,username=john.doe"
100047,2025-08-01T01:45:45Z,002,LINUX-SERVER-02,4624,Successful user logon,3,"username=admin,src_ip=77.34.123.92"
100048,2025-08-01T02:01:36Z,002,LINUX-SERVER-02,900001,High CPU usage detected,4,"cpu_usage=89%,process=chrome.exe"
100049,2025-08-01T03:21:43Z,004,LINUX-SERVER-DB,5501,File integrity checksum changed,5,"file=/etc/passwd,hash_diff=true"
100050,2025-08-01T03:40:00Z,004,LINUX-SERVER-DB,100001,Multiple failed SSH login attempts,7,"src_ip=70.93.15.153,username=devadmin"
